ticker,bench,events_total,events_pre_total,events_intra_total,events_post_total,blue_any_rate,blue_hard_rate,blue_soft_rate,ark_any_rate,ark_hard_rate,ark_soft_rate,print_any_rate,print_hard_rate,print_soft_rate,open_any_rate,open_hard_rate,open_soft_rate,global_any_rate,global_hard_rate,global_soft_rate,intra_any_rate,intra_hard_rate,intra_soft_rate,post_any_rate,post_hard_rate,post_soft_rate,corr,beta,sigma
IBB,IWM,95,41,54,0,0.0,0.0,0.0,0.0975609756097561,0.07317073170731707,0.024390243902439025,0.12195121951219512,0.024390243902439025,0.0975609756097561,0.2926829268292683,0.14634146341463414,0.14634146341463414,0.34146341463414637,0.17073170731707318,0.17073170731707318,0.0,0.0,0.0,,,,0.81,0.49,0.4
IBEX,IWM,11,7,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,,,,0.89,0.62,3.56
IBIT,IWM,122,65,57,0,0.3230769230769231,0.23076923076923078,0.09230769230769231,0.47692307692307695,0.36923076923076925,0.1076923076923077,0.13846153846153847,0.03076923076923077,0.1076923076923077,0.26153846153846155,0.13846153846153847,0.12307692307692308,0.5230769230769231,0.36923076923076925,0.15384615384615385,0.0,0.0,0.0,,,,0.73,2.02,1.83
IBKR,SPY,125,64,61,0,0.3125,0.15625,0.15625,0.65625,0.515625,0.140625,0.234375,0.0625,0.171875,0.625,0.390625,0.234375,0.8125,0.59375,0.21875,0.0,0.0,0.0,,,,0.91,1.97,1.13
IBLC,IWM,11,7,4,0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,,,,0.93,2.83,2.11
IBM,IWM,86,46,40,0,0.15217391304347827,0.10869565217391304,0.043478260869565216,0.391304347826087,0.3695652173913043,0.021739130434782608,0.1956521739130435,0.13043478260869565,0.06521739130434782,0.4782608695652174,0.34782608695652173,0.13043478260869565,0.6304347826086957,0.5217391304347826,0.10869565217391304,0.0,0.0,0.0,,,,0.82,0.51,1.17
IBN,KRE,71,22,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.4090909090909091,0.13636363636363635,0.2727272727272727,0.4090909090909091,0.13636363636363635,0.2727272727272727,0.0,0.0,0.0,,,,0.11,0.09,0.89
IBOC,KRE,25,5,20,0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.8,0.4,0.4,0.8,0.4,0.4,0.0,0.0,0.0,,,,0.9,0.83,0.5
IBP,IWM,43,11,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,,,,0.74,0.99,1.24
IBTA,IWM,28,11,17,0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.2727272727272727,0.7272727272727273,0.6363636363636364,0.09090909090909091,0.7272727272727273,0.45454545454545453,0.2727272727272727,0.0,0.0,0.0,,,,0.73,0.98,4.51
